Artist,Title,Duration,Link
The Beatles,She Loves You,2:19,https://www.youtube.com/watch?v=_HKiSIWGyJw
Bob Dylan,Like a Rolling Stone,6:13,https://www.youtube.com/watch?v=IwOfCgkyEj0
Simon & Garfunkel,Sound of Silence,3:05,https://www.youtube.com/watch?v=4fWyzwo1xg0
The Beach Boys,Good Vibrations,3:30,https://www.youtube.com/watch?v=Eab_beh07HU
The Rolling Stones,(I Can’t Get No) Satisfaction,3:45,https://www.youtube.com/watch?v=nrIPxlFzDi0
Jimi Hendrix Experience,All Along the Watchtower,4:01,https://www.youtube.com/watch?v=TLV4_xaYynY
Aretha Franklin,Respect,2:28,https://www.youtube.com/watch?v=6FOUqQt3Kg0
The Jackson 5,ABC,3:30,https://www.youtube.com/watch?v=ho7796-au8U 
Led Zeppelin,Stairway to Heaven,8:02,https://www.youtube.com/watch?v=xbhCPt6PZIU
John Denver,Take Me Home,3:10,https://www.youtube.com/watch?v=1vrEljMfXYo
